,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet Text,Tweets Ago
72,0.4215,Tue Sep 25 08:53:02 +0000 2018,0.872,0.0,@BBC,0.128,"♻️ It's so different from place to place… is there an easier way to sort this plastic recycling? 

https://t.co/75TG6dddQd",73
73,0.2263,Tue Sep 25 08:30:00 +0000 2018,0.787,0.0,@BBC,0.213,"Plastic is everywhere. Are you surprised?

#PlasticsWatch https://t.co/q1QXHYgYAR",74
74,0.0,Tue Sep 25 08:02:07 +0000 2018,1.0,0.0,@BBC,0.0,"🤔🎨Quiz: Can you guess which musicians painted these pictures?

https://t.co/CNo9uMGasj https://t.co/YrQeRins9E",75
75,0.6369,Tue Sep 25 07:32:06 +0000 2018,0.769,0.0,@BBC,0.231,"🎓What's the best university name in the world to put on a job application?

https://t.co/2uEYRC075L https://t.co/tLmNn6W4Rt",76
76,0.6369,Mon Sep 24 20:45:07 +0000 2018,0.802,0.0,@BBC,0.198,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",77
77,-0.34,Mon Sep 24 18:02:07 +0000 2018,0.888,0.112,@BBC,0.0,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",78
78,-0.2714,Mon Sep 24 16:32:08 +0000 2018,0.901,0.099,@BBC,0.0,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",79
79,0.0,Mon Sep 24 16:26:11 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",80
80,0.2144,Mon Sep 24 15:53:55 +0000 2018,0.773,0.099,@BBC,0.128,RT @BBCOne: How easy is it to get help for mental health when you need it? 14-year-old Jess was refused treatment for anxiety but went on t…,81
81,0.0,Mon Sep 24 15:17:27 +0000 2018,1.0,0.0,@BBC,0.0,"RT @bbcdoctorwho: 1,2,3,4…. Thirteen #DoctorWho #Sheffield https://t.co/xaDWu2DmtF",82
82,0.0,Mon Sep 24 15:06:34 +0000 2018,1.0,0.0,@BBC,0.0,"Papa… what? 🤔😂 

A new series of Letterbox starts today at 6pm on @BBCTwo. 
https://t.co/NLP3Hx0YSK https://t.co/c8myHijbdz",83
83,0.6361,Mon Sep 24 13:59:07 +0000 2018,0.705,0.0,@BBC,0.295,"✈️Is this one of the world's most beautiful airports?

https://t.co/ewqnUMEhZY https://t.co/aFxlQBAET6",84
84,-0.2247,Mon Sep 24 13:01:06 +0000 2018,0.873,0.127,@BBC,0.0,"So. Awkward. 🍗😳😂

When @lilyallen had to turn down chicken wings from @Drake... 

https://t.co/4pCjbGbUjY",85
85,0.6597,Mon Sep 24 11:36:41 +0000 2018,0.787,0.0,@BBC,0.213,"RT @bbcpress: Who were your #BluePeter presenters growing up? 🎂6⃣0⃣🎂 The @CBBC show will celebrate 60 years next month. Facts, interviews a…",86
86,0.4019,Mon Sep 24 11:08:45 +0000 2018,0.828,0.0,@BBC,0.172,"Christina set up ‘Sandwich Angels’ to help feed Manchester’s homeless community. (Via @bbcthree)

https://t.co/Xq0WVgZFFe",87
87,0.0,Mon Sep 24 10:02:07 +0000 2018,1.0,0.0,@BBC,0.0,"""Girls have rights and I have rights to an education."" 💛

This young woman choose to teach instead of becoming a te… https://t.co/lFAjrelhXI",88
88,-0.128,Mon Sep 24 09:03:02 +0000 2018,0.889,0.111,@BBC,0.0,"😳😂 ""I'm going to leave it there because the lawyers are on the phone""

When @BBCSimonMcCoy sat down for a serious i… https://t.co/HAuyMtgM2c",89
89,0.7184,Mon Sep 24 08:49:40 +0000 2018,0.769,0.0,@BBC,0.231,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",90
90,0.0,Mon Sep 24 08:02:05 +0000 2018,1.0,0.0,@BBC,0.0,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,91
91,0.0,Mon Sep 24 07:31:07 +0000 2018,1.0,0.0,@BBC,0.0,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,92
92,0.0,Mon Sep 24 07:02:04 +0000 2018,1.0,0.0,@BBC,0.0,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,93
93,0.128,Sun Sep 23 22:04:30 +0000 2018,0.773,0.103,@BBC,0.124,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",94
94,-0.7398,Sun Sep 23 20:32:23 +0000 2018,0.712,0.288,@BBC,0.0,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",95
95,0.4939,Sun Sep 23 19:04:06 +0000 2018,0.714,0.071,@BBC,0.214,"Get ready to learn the truth.

Don’t miss the epic finale of #Bodyguard. Tonight at 9pm on @BBCOne.

https://t.co/WBN1aXFHDl",96
96,0.0,Sun Sep 23 18:02:04 +0000 2018,1.0,0.0,@BBC,0.0,"🤔📆 Quiz: Can you guess which celebrity is the oldest? 

https://t.co/EVdI3SRIxf https://t.co/7hc2mzrx3B",97
97,0.5267,Sun Sep 23 17:02:01 +0000 2018,0.708,0.071,@BBC,0.221,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",98
98,0.3818,Sun Sep 23 16:04:03 +0000 2018,0.755,0.0,@BBC,0.245,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",99
99,0.8058,Sun Sep 23 15:03:04 +0000 2018,0.553,0.0,@BBC,0.447,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",100
100,0.0,Fri Sep 28 22:22:01 +0000 2018,1.0,0.0,@CBS,0.0,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",1
101,0.0,Fri Sep 28 20:16:14 +0000 2018,1.0,0.0,@CBS,0.0,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",2
